"LOCATCD","Long","Lat"
"M752.8M",-91.921734660509,44.3241788297242
"M752.9Z",-91.9214975954614,44.3289031417329
"M752.9M",-91.9243854086692,44.3280480848454
"M752.9Y",-91.9273226419924,44.327229430718
"M701.1F",-91.2971767928332,43.8494139969147
"M701.1D",-91.2953735847816,43.8493871069287
"M679.5Z",-91.2296425492486,43.574258800305
"M679.5X",-91.2314746008301,43.5742871635316
"M701.1E",-91.2962689705359,43.8494004627523
"M701.1C",-91.2944657637439,43.8493735584488
"M679.5Y",-91.2305585747052,43.5742729855861
"M679.5W",-91.2323906276228,43.5743013341413
"M702.5B",-91.3086032767222,43.8659432207206
"M679.2Z",-91.2307638242803,43.5702243785246
"M615.2B",-91.0944937590589,42.7819597838575
"M520.6B",-90.1730407632945,41.8728700811113
"M202.6T",-90.1866435708758,38.8824617466965
"M193.2H",-90.1342206233675,38.7903644137513
"M193.2J",-90.1322504768363,38.7883970750055
"M202.6V",-90.1817294867554,38.8834332735416
"M202.6X",-90.1775608606015,38.8833325125443
"M048.9G",-89.5146273372073,37.2543712788663
"M009.7M",-89.2361643837213,37.0466760234452
"M066.3B",-89.4580850633093,37.4553107941594
"M066.3A",-89.4560541576317,37.4504569288636
"I080.2C",-90.5351419960632,39.9393879239673
"M663.4E",-91.2056303953914,43.3707788121646
"M647.9X",-91.0997908664956,43.2120692422169
"M646.9X",-91.1122395289403,43.2008127399251
