parameter,decade,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
SiDIN,2010,BM00.7S,trib,5,6.704387585,15.37836684,65,mol:mol
SiDIN,2010,LM00.5M,trib,6,3.471723559,10.50556033,80,mol:mol
SiDIN,2010,BX00.4M,trib,2,1.408529657,0.358653515,91,mol:mol
SiDIN,2010,RK03.7M,trib,3,0.369811055,0.178374946,81,mol:mol
SiDIN,2010,CU11.6M,trib,4,3.812051271,10.34247552,75,mol:mol
SiDIN,2010,RK00.1M,trib,3,0.305623769,0.276331013,69,mol:mol
SiDIN,2010,LM07.2M,trib,6,3.769371063,10.88603497,78,mol:mol
SiDIN,2010,CC00.6M,trib,2,1.939368348,0.370239901,117,mol:mol
SiDIN,2010,S000.2K,trib,6,1.389514253,3.953604591,81,mol:mol
SiDIN,2010,DC01.0M,trib,4,1.19087008,0.942423957,57,mol:mol
SiDIN,2010,CN00.1M,trib,1,0.782151445,0.385691788,102,mol:mol
SiDIN,2010,WP02.6M,trib,3,0.858135685,3.848968598,74,mol:mol
SiDIN,2010,LX00.1M,trib,2,1.644217689,0.717052226,94,mol:mol
SiDIN,2010,CH00.1M,trib,1,3.217357042,1.881197105,120,mol:mol
SiDIN,2010,PI00.2M,trib,4,2.514554432,2.381784398,71,mol:mol
SiDIN,2010,MQ02.1M,trib,3,0.356279842,0.141831611,63,mol:mol
SiDIN,2010,SG16.2C,trib,6,1.053959262,2.379075513,50,mol:mol
SiDIN,2010,HD00.9M,trib,5,8.939078571,14.49084389,71,mol:mol
SiDIN,2010,UI02.9M,trib,2,0.506870919,0.347763307,86,mol:mol
SiDIN,2010,MK04.4M,trib,6,0.70585896,0.890683658,74,mol:mol
SiDIN,2010,PE01.8M,trib,4,6.943108318,14.45074941,74,mol:mol
SiDIN,2010,R000.1M,trib,2,0.577265842,0.187574783,93,mol:mol
SiDIN,2010,VM00.1M,trib,1,1.284709992,0.881489222,107,mol:mol
SiSRP,2010,CU11.6M,trib,4,265.3323219,330.0398091,95,mol:mol
SiSRP,2010,DC01.0M,trib,4,37.79669135,35.8319317,77,mol:mol
SiSRP,2010,LX00.1M,trib,2,303.2972027,368.4738003,128,mol:mol
SiSRP,2010,HD00.9M,trib,5,313.9988468,218.6839554,101,mol:mol
SiSRP,2010,BM00.7S,trib,5,142.2810945,299.0681886,94,mol:mol
SiSRP,2010,MK04.4M,trib,6,452.7776701,499.4256847,103,mol:mol
SiSRP,2010,CN00.1M,trib,1,400.1067133,512.0257853,115,mol:mol
SiSRP,2010,AL02.3M,trib,3,213.6161197,152.2725377,102,mol:mol
SiSRP,2010,LM00.5M,trib,6,191.0953387,160.4721787,105,mol:mol
SiSRP,2010,SG16.2C,trib,6,44.69708119,65.64658965,82,mol:mol
SiSRP,2010,BX00.4M,trib,2,629.5768956,532.4603064,133,mol:mol
SiSRP,2010,MQ02.1M,trib,3,240.9329771,336.9489717,99,mol:mol
SiSRP,2010,RK00.1M,trib,3,407.8527135,319.0112406,104,mol:mol
SiSRP,2010,BK01.0M,trib,2,248.0619573,336.0162795,129,mol:mol
SiSRP,2010,LM07.2M,trib,6,220.6604607,178.7721179,100,mol:mol
SiSRP,2010,UI02.9M,trib,2,621.4267222,756.5762599,126,mol:mol
SiSRP,2010,CC00.6M,trib,2,442.2203492,273.888694,138,mol:mol
SiSRP,2010,PE01.8M,trib,4,277.2618508,259.984756,100,mol:mol
SiSRP,2010,RK03.7M,trib,3,570.9485681,620.4823298,101,mol:mol
SiSRP,2010,BK14.2M,trib,2,124.7417553,91.12528709,101,mol:mol
SiSRP,2010,PI00.2M,trib,4,226.9286769,238.165631,90,mol:mol
SiSRP,2010,VM00.1M,trib,1,572.3053844,514.6591107,123,mol:mol
SiSRP,2010,CH00.1M,trib,1,201.5668919,129.9496543,131,mol:mol
SiSRP,2010,S000.2K,trib,6,229.771768,197.1230001,111,mol:mol
SiSRP,2010,R000.1M,trib,2,447.3514867,269.8087306,134,mol:mol
SiSRP,2010,WP02.6M,trib,3,256.9331437,212.4383711,100,mol:mol
SiTN,2010,RK00.1M,trib,3,0.247695006,0.152773769,78,mol:mol
