parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
TNTP,DC01.0M,trib,4,17.33320878,10.95451877,338,mol:mol
TNTP,RK03.7M,trib,3,378.3730949,288.9539444,315,mol:mol
TNTP,M066.3B,main,5,26.96231567,11.31185619,349,mol:mol
TNTP,BK14.2M,trib,2,25.11897721,16.40564608,411,mol:mol
TNTP,LX00.1M,trib,2,31.57411757,18.10124681,429,mol:mol
TNTP,VM00.1M,trib,1,61.99111222,55.95600473,426,mol:mol
TNTP,M202.6T,main,4,41.03094365,18.07369861,347,mol:mol
TNTP,CH00.1M,trib,1,39.72987062,19.14393626,427,mol:mol
TNTP,PI00.2M,trib,4,34.09219175,20.99318047,399,mol:mol
TNTP,I080.2M,main,6,34.08552173,19.62237212,370,mol:mol
TNTP,M764.3A,main,1,66.16504615,53.07096353,411,mol:mol
TNTP,HD00.9M,trib,5,25.5187871,30.22414122,375,mol:mol
TNTP,S000.2K,trib,6,85.73207278,75.86379141,426,mol:mol
TNTP,M066.4C,main,5,28.54823225,12.34497711,375,mol:mol
TNTP,BM00.7S,trib,5,20.55768475,14.25441958,387,mol:mol
TNTP,MK04.4M,trib,6,156.2771263,128.609987,382,mol:mol
TNTP,WP02.6M,trib,3,85.62376708,70.66415658,401,mol:mol
TNTP,M241.4K,main,4,45.11176378,51.71921412,403,mol:mol
TNTP,CN00.1M,trib,1,81.4799404,52.58184628,418,mol:mol
TNTP,R000.1M,trib,2,135.4944412,134.9059645,445,mol:mol
TNTP,I121.2W,main,6,35.38898363,20.93138199,439,mol:mol
TNTP,M786.2C,main,1,57.36427952,34.67662822,421,mol:mol
TP,AL02.3M,trib,3,0.183807895,0.187192358,380,mg/L
TP,LM00.5M,trib,6,0.219285319,0.234100819,361,mg/L
TP,SG16.2C,trib,6,0.448692124,0.333857623,419,mg/L
TP,M070.2A,main,5,0.280952381,0.136172744,378,mg/L
TP,BX00.4M,trib,2,0.102017751,0.208914929,338,mg/L
TP,MQ02.1M,trib,3,0.310093677,0.418357559,427,mg/L
TP,I007.0W,main,4,0.319387179,0.114750747,390,mg/L
TP,M556.4A,main,3,0.140894737,0.075552205,437,mg/L
TP,CU11.6M,trib,4,0.178038781,0.154512328,361,mg/L
TP,RK00.1M,trib,3,0.141420455,0.14822782,352,mg/L
TP,I157.8D,main,6,0.413867322,0.149947945,407,mg/L
TP,BK01.0M,trib,2,0.118,0.056071513,413,mg/L
TP,LM07.2M,trib,6,0.260953317,0.343777,407,mg/L
TP,UI02.9M,trib,2,0.164578313,0.345806876,332,mg/L
TP,M078.0B,main,5,0.290984576,0.221756088,389,mg/L
TP,CC00.6M,trib,2,0.132015544,0.284449571,386,mg/L
TP,PE01.8M,trib,4,0.159659884,0.11426583,344,mg/L
TP,I080.2C,main,6,0.364487685,0.168626488,406,mg/L
TP,M701.1B,main,2,0.133385417,0.061407732,480,mg/L
TP,DC01.0M,trib,4,0.618674286,0.486295761,350,mg/L
TP,RK03.7M,trib,3,0.095225071,0.121542106,351,mg/L
TP,M066.3B,main,5,0.28053352,0.123501427,358,mg/L
TP,BK14.2M,trib,2,0.153817308,0.085723542,416,mg/L
TP,LX00.1M,trib,2,0.166061927,0.086414523,436,mg/L
TP,VM00.1M,trib,1,0.187706697,0.08291771,433,mg/L
TP,M202.6T,main,4,0.214538028,0.107393835,355,mg/L
TP,CH00.1M,trib,1,0.097902778,0.063413202,432,mg/L
TP,PI00.2M,trib,4,0.206647783,0.19425679,406,mg/L
TP,I080.2M,main,6,0.356052493,0.125109099,381,mg/L
TP,M764.3A,main,1,0.128923445,0.068401403,418,mg/L
TP,HD00.9M,trib,5,0.117664198,0.110709015,405,mg/L
TP,S000.2K,trib,6,0.232844595,0.249094796,444,mg/L
TP,M066.4C,main,5,0.262336761,0.113857513,389,mg/L
TP,BM00.7S,trib,5,0.186936881,0.098562945,404,mg/L
TP,MK04.4M,trib,6,0.149905797,0.227248226,414,mg/L
TP,WP02.6M,trib,3,0.237622066,0.260239302,426,mg/L
TP,M241.4K,main,4,0.202009804,0.081717557,408,mg/L
TP,CN00.1M,trib,1,0.17865358,0.144664667,433,mg/L
TP,R000.1M,trib,2,0.145195279,0.246003992,466,mg/L
TP,I121.2W,main,6,0.372835556,0.151474709,450,mg/L
TP,M786.2C,main,1,0.143897674,0.078663864,430,mg/L

